"store","brand_id","brand","week","move_ounce","price_ounce","sale_B","sale_C","sale_S","summove_ounce","nweeks","mean_marketshare","sharerank","priclow","pricmed","prichigh","logprice_ounce","logmove_ounce","saledummy_B","saledummy_C","saledummy_S","promoweek"
5,26,"Budweiser",304,6408,4.88715277777778,0.3,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.5866098798779,8.7653024887482,1,0,0,304
5,26,"Budweiser",166,1944,4.64322916666667,0.5,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.53541006527541,7.57250298502038,1,0,0,166
5,26,"Budweiser",167,6552,4.71296296296296,0.333333333333333,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.5503167894263,8.78752562553291,1,0,0,167
5,26,"Budweiser",168,5328,4.98484848484849,0,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.60640300873895,8.58073121222023,0,0,0,NA
5,26,"Budweiser",169,3168,5.04652777777778,0,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.61870043804659,8.06085575293432,0,0,0,NA
5,26,"Budweiser",170,1368,5.28670634920635,0,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.66519543366547,7.2211050981825,0,0,0,NA
5,26,"Budweiser",171,7488,4.95325854700855,0.0769230769230769,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.60004565232621,8.92105701815743,1,0,0,171
5,26,"Budweiser",172,3888,4.71296296296296,0.222222222222222,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.5503167894263,8.26565016558033,1,0,0,172
5,26,"Budweiser",173,4248,5.04652777777778,0,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.61870043804659,8.35420356292178,0,0,0,NA
5,26,"Budweiser",174,2376,5.14467592592593,0.111111111111111,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.63796237914395,7.77317368048254,1,0,0,174
5,26,"Budweiser",175,4824,4.88715277777778,0.25,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.5866098798779,8.48135873840702,1,0,0,175
5,26,"Budweiser",176,3672,4.75416666666667,0.3,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.55902142652008,8.20849175174038,1,0,0,176
5,26,"Budweiser",177,4032,4.8375,0.2,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.5763980583559,8.3020178097512,1,0,0,177
5,26,"Budweiser",178,2448,4.72265625,0.375,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.55237140613523,7.80302664363222,1,0,0,178
5,26,"Budweiser",179,4104,4.92737268518519,0.25,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.59480592210266,8.31971738685061,1,0,0,179
5,26,"Budweiser",180,1800,4.97395833333333,0,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.60421596845295,7.49554194388426,0,0,0,NA
5,26,"Budweiser",181,2592,4.99151234567901,0,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.60773893913177,7.86018505747217,0,0,0,NA
5,26,"Budweiser",183,4248,5.04040404040404,0.181818181818182,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.61748624561693,8.35420356292178,1,0,0,183
5,26,"Budweiser",184,3672,4.86426767676768,0.181818181818182,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.58191617537984,8.20849175174038,1,0,0,184
5,26,"Budweiser",185,2160,4.71180555555556,0.428571428571429,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.55007117969892,7.67786350067821,1,0,0,185
5,26,"Budweiser",186,3384,4.76805555555556,0.4,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.56193858144759,8.12681372072611,1,0,0,186
5,26,"Budweiser",187,5184,4.97708333333333,0.2,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.60484404342387,8.55333223803211,1,0,0,187
5,26,"Budweiser",188,1944,4.83101851851852,0,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.57505731883309,7.57250298502038,0,0,0,NA
5,26,"Budweiser",189,3168,5.03703703703704,0,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.61681801973172,8.06085575293432,0,0,0,NA
5,26,"Budweiser",190,4248,4.85243055555556,0.25,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.57947972489331,8.35420356292178,1,0,0,190
5,26,"Budweiser",191,5544,5.03703703703704,0.166666666666667,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.61681801973172,8.62047154086974,1,0,0,191
5,26,"Budweiser",192,4536,5.04652777777778,0,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.61870043804659,8.41980084540759,0,0,0,NA
5,26,"Budweiser",193,4248,4.71219135802469,0.333333333333333,0,0,158871900.16,220,0.0893307330373107,3,0,1,0,1.55015305631091,8.35420356292178,1,0,0,193
