"before","after","difference"
44.3952435344779,51.5275646418619,7.13232110738407
47.6982251051672,51.2228676902058,3.52464258503864
65.5870831414912,75.0627114467163,9.47562830522511
50.7050839142458,60.095751351911,9.39066743766521
51.2928773516095,60.4007827597969,9.10790540818743
67.1506498688328,75.5938511393333,8.44320127050045
54.609162059892,62.37875032758,7.76958826768794
37.3493876539347,42.039829101051,4.69044144711639
43.1314714810647,46.6016581623652,3.47018668130042
45.5433802990004,48.6410252939385,3.09764499493809
62.2408179743946,63.767283079792,1.52646510539743
53.5981382705736,57.5585518804756,3.960413609902
54.0077145059405,52.6807327480992,-1.32698175784132
51.1068271594512,66.9516069861438,15.8447798266926
44.4415886524593,55.4813986439842,11.039809991525
67.8691313680308,67.253588452014,-0.61554291601675
54.9785047822924,57.964080605797,2.98557582350462
30.3338284337036,33.0005516655875,2.6667232318839
57.0135590156369,65.9133846073184,8.89982559168159
45.2720859227207,49.8552405903615,4.58315466764085
39.3217629401315,45.5883555101053,6.26659256997377
47.820250853417,52.6775170766735,4.85726622325649
39.7399555169276,44.525603230471,4.78564771354342
42.7110877070886,54.5540991271609,11.8430114200723
43.7496073215074,47.6207523932111,3.87114507170366
33.1330668925759,45.7154199147236,12.5823530221477
58.3778704449452,55.6341064237941,-2.74376402115111
51.5337311783652,59.4567999265455,7.92306874818035
38.6186306298805,44.2379018491036,5.61927121922307
62.5381492106993,68.6178570544191,6.07970784371987
